2020-04-24 11:48:22.630 [restartedMain] INFO  c.a.springbootdemo10.Springbootdemo10Application - Starting Springbootdemo10Application on LAPTOP-L9PG52N8 with PID 25580 (D:\workspace\study\java\springbootdemo10\target\classes started by Administrator in D:\workspace\study\java\springbootdemo10)
2020-04-24 11:48:22.633 [restartedMain] INFO  c.a.springbootdemo10.Springbootdemo10Application - The following profiles are active: dev
2020-04-24 11:48:22.691 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-04-24 11:48:22.691 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-04-24 11:48:23.820 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2020-04-24 11:48:23.845 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2020-04-24 11:48:23.846 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-24 11:48:23.846 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-24 11:48:24.000 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/demo10] - Initializing Spring embedded WebApplicationContext
2020-04-24 11:48:24.000 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1308 ms
2020-04-24 11:48:24.173 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-24 11:48:24.339 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-04-24 11:48:24.370 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2020-04-24 11:48:24.395 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path '/demo10'
2020-04-24 11:48:24.398 [restartedMain] INFO  c.a.springbootdemo10.Springbootdemo10Application - Started Springbootdemo10Application in 2.501 seconds (JVM running for 4.49)
2020-04-24 11:48:51.835 [http-nio-8090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/demo10] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-24 11:48:51.836 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-24 11:48:51.840 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-04-24 11:53:28.931 [restartedMain] INFO  c.a.springbootdemo10.Springbootdemo10Application - Starting Springbootdemo10Application on LAPTOP-L9PG52N8 with PID 11964 (D:\workspace\study\java\springbootdemo10\target\classes started by Administrator in D:\workspace\study\java\springbootdemo10)
2020-04-24 11:53:28.933 [restartedMain] INFO  c.a.springbootdemo10.Springbootdemo10Application - The following profiles are active: dev
